a,p,r,f1,datasetName,output_columns,numeric_columns,rows,has_ontology,shots
0.8,0.8,1.0,0.888888888888889,remax_1,15,0,29,True,1
0.6666666666666666,0.6666666666666666,1.0,0.8,restaurantguru_1,30,4,35,True,1
0.45454545454545453,0.45454545454545453,1.0,0.625,skyscanner_1,22,2,26,True,1
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,subito_1,21,1,39,True,1
0.5,0.5,1.0,0.6666666666666666,target_com_1,6,0,32,True,1
0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,tecnocasa_1,22,6,29,True,1
0.41935483870967744,0.41935483870967744,1.0,0.5909090909090909,toscano_1,31,7,34,True,1
1.0,1.0,1.0,1.0,transfermarkt_1,1,0,31,True,1
0.23636363636363636,0.23636363636363636,1.0,0.3823529411764706,tripadvisor_1,55,19,30,True,1
0.6470588235294118,0.6470588235294118,1.0,0.7857142857142858,unicredit_1,17,1,36,True,1
0.6346153846153846,0.6346153846153846,1.0,0.7764705882352941,walmart_1,52,7,40,True,1
0.25,0.25,1.0,0.4,zalando_1,4,0,36,True,1
0.8461538461538461,0.8461538461538461,1.0,0.9166666666666666,adelphi_1,26,0,36,True,5
0.17857142857142858,0.17857142857142858,1.0,0.30303030303030304,alibaba_1,28,0,26,True,5
0.125,0.125,1.0,0.2222222222222222,ansa_1,8,0,80,True,5
0.13333333333333333,0.13333333333333333,1.0,0.23529411764705882,bestwestern_1,15,1,38,True,5
0.52,0.52,1.0,0.6842105263157895,bundesliga_1,25,9,35,True,5
0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,decathlon_1,19,1,32,True,5
0.5652173913043478,0.5652173913043478,1.0,0.7222222222222222,feltrinelli_1,23,3,29,True,5
0.6764705882352942,0.6764705882352942,1.0,0.8070175438596492,giunti_1,34,2,33,True,5
0.4444444444444444,0.4444444444444444,1.0,0.6153846153846153,happycow_1,27,3,31,True,5
0.5,0.5,1.0,0.6666666666666666,hoepli_1,10,1,29,True,5
0.7222222222222222,0.7222222222222222,1.0,0.8387096774193548,hotels_com_1,18,0,35,True,5
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,hotel_de_1,7,0,31,True,5
0.6842105263157895,0.6842105263157895,1.0,0.8125000000000001,immobiliare_it_1,19,0,31,True,5
0.6153846153846154,0.6153846153846154,1.0,0.761904761904762,laliga_1,13,5,29,True,5
0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,lastminute_1,13,1,38,True,5
0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,michelin_1,9,1,49,True,5
0.6129032258064516,0.6129032258064516,1.0,0.76,mondadori_1,31,4,39,True,5
0.2916666666666667,0.2916666666666667,1.0,0.45161290322580644,opentable_1,24,7,36,True,5
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,premier_1,7,1,31,True,5
0.3,0.3,1.0,0.4615384615384615,priceline_1,20,3,32,True,5
0.7333333333333333,0.7333333333333333,1.0,0.846153846153846,remax_1,15,0,29,True,5
0.6,0.6,1.0,0.7499999999999999,restaurantguru_1,30,4,35,True,5
0.22727272727272727,0.22727272727272727,1.0,0.37037037037037035,skyscanner_1,22,2,26,True,5
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,subito_1,21,1,38,True,5
0.3333333333333333,0.3333333333333333,1.0,0.5,target_com_1,6,0,31,True,5
0.5454545454545454,0.5454545454545454,1.0,0.7058823529411764,tecnocasa_1,22,6,29,True,5
0.3225806451612903,0.3225806451612903,1.0,0.4878048780487805,toscano_1,31,7,34,True,5
1.0,1.0,1.0,1.0,transfermarkt_1,1,0,31,True,5
0.16363636363636364,0.16363636363636364,1.0,0.28125,tripadvisor_1,55,19,30,True,5
0.7058823529411765,0.7058823529411765,1.0,0.8275862068965517,unicredit_1,17,1,36,True,5
0.2692307692307692,0.2692307692307692,1.0,0.42424242424242425,walmart_1,52,7,40,True,5
0.75,0.75,1.0,0.8571428571428571,zalando_1,4,0,36,True,5
